customerID,firstName,lastName,birthDate,moneySpent,anniversary
1,Abhi,Das,5/4/1987,7062.94,
2,Abhi,Chakraborty,6/19/1999,21153.90,
3,Rahul,Banerjee,10/22/1984,30140.73,
4,Sourav,Sen,2/13/2007,21034.04,4/30/2039
5,Vikram,Mukherjee,6/24/1987,37964.49,8/11/2007
6,Pankaj,Pal,12/16/1993,7858.43,
7,Sneha,Banerjee,2/28/1979,18013.07,
8,Riya,Mukherjee,11/12/1986,23025.30,3/20/2023
9,Abhi,Ghosh,7/15/1978,31469.13,2/14/2017
10,Riya,Mukherjee,8/17/1983,33097.04,8/21/2004
11,Priya,Banerjee,6/11/1985,13970.88,12/14/2013
12,Riya,Chatterjee,8/10/1991,33541.74,
13,Subhajit,Mukherjee,6/26/2003,36483.43,
14,Pankaj,Sarkar,1/8/1992,46277.02,
15,Sourav,Sen,9/16/2005,38438.85,
16,Amit,Sen,6/9/1976,13460.27,6/3/2005
17,Mousumi,Mukherjee,3/16/2007,32806.39,
18,Debayan,Chakraborty,8/1/1995,7067.55,
19,Sourav,Sharma,10/14/1986,44901.36,5/18/2016
20,Debayan,Roy,11/2/1984,25525.36,12/5/2007
21,Subhajit,Mitra,2/10/1977,31409.56,7/11/2000
22,Anjali,Mukherjee,11/6/1977,29834.83,
23,Vikram,Sharma,4/12/1986,47127.30,7/27/2025
24,Abhi,Chakraborty,2/1/1999,32083.99,4/23/2036
25,Abhi,Dutta,7/3/1994,261.94,
26,Akash,Sharma,1/6/1983,43538.88,5/21/2005
27,Priya,Bose,8/30/2003,7726.68,2/9/2028
28,Pankaj,Sharma,10/16/1998,16275.39,3/17/2032
29,Rahul,Banerjee,4/14/1991,40358.06,12/3/2029
30,Ranit,Das,10/21/1985,4374.11,7/23/2007
31,Sayan,Bose,2/7/1978,38315.14,1/13/2010
32,Argha,Chakraborty,4/27/1996,13326.33,1/4/2020
33,Tanmoy,Ghosh,7/2/1984,36523.56,6/5/2021
34,Mousumi,Pal,12/25/1988,33617.18,
35,Riya,Sarkar,3/20/1998,11312.40,10/5/2023
36,Sneha,Das,5/22/2001,11088.85,7/28/2034
37,Subhajit,Pal,4/23/2003,3463.28,
38,Amit,Bose,10/27/1989,11976.43,
39,Sayan,Sen,3/10/1999,46782.16,
40,Niladri,Mukherjee,3/15/1996,23701.35,
41,Anjali,Sen,3/26/1979,21609.45,
42,Anjali,Ghosh,12/13/1995,33700.89,2/23/2017
43,Abhi,Das,1/22/1993,43097.46,1/1/2031
44,Ranit,Sen,7/14/1983,21151.89,8/30/2006
45,Akash,Sarkar,3/16/1986,22212.22,11/18/2007
46,Sourav,Banerjee,4/8/1977,41817.78,5/18/2009
47,Subhajit,Mitra,8/8/1985,24333.49,
48,Mousumi,Bose,12/27/1992,19010.76,8/31/2016
49,Debayan,Dutta,5/30/1995,34859.92,
50,Sourav,Chakraborty,3/24/2007,14905.72,6/21/2031
51,Amit,Mukherjee,4/28/1999,15748.88,
52,Amit,Mukherjee,5/21/1996,26603.19,7/1/2035
53,Amit,Sharma,8/5/1978,29792.25,2/12/2000
54,Ranit,Ghosh,5/18/1980,12386.15,2/20/2013
55,Tanmoy,Das,10/13/2002,32902.92,
56,Niladri,Sharma,3/11/1989,33519.33,10/4/2013
57,Sneha,Sen,11/30/1986,33617.34,
58,Priya,Sarkar,3/8/1989,3719.90,2/26/2030
59,Vikram,Mukherjee,4/3/2000,26927.96,11/19/2021
60,Sandip,Dutta,12/10/1980,3532.69,9/7/2020
61,Ranit,Roy,10/14/1987,41703.87,
62,Priya,Mukherjee,5/2/2004,40873.50,4/20/2039
63,Priya,Chakraborty,8/25/1979,13296.85,8/24/2002
64,Abhi,Pal,10/26/1999,14159.64,
65,Mousumi,Pal,5/19/1990,31748.47,
66,Akash,Sharma,11/30/1996,45417.14,
67,Amit,Banerjee,6/15/2003,2299.93,8/23/2029
68,Sneha,Mitra,11/13/1980,8162.94,9/23/2006
69,Vikram,Sharma,8/27/2006,5682.51,11/9/2026
70,Argha,Sharma,8/13/1976,27671.00,8/31/2009
71,Anjali,Chatterjee,11/16/1976,44959.18,
72,Amit,Roy,6/3/1984,5229.40,5/14/2019
73,Sourav,Bose,3/25/1993,7812.21,1/9/2030
74,Ranit,Bose,4/16/1982,8934.91,6/16/2020
75,Anjali,Das,1/17/1983,39141.09,6/25/2010
76,Anjali,Mitra,1/18/2005,12483.55,3/21/2043
77,Pankaj,Mitra,6/16/2006,43621.12,
78,Sayan,Sen,12/14/1983,17547.96,4/5/2014
79,Ranit,Sen,1/23/1976,16480.27,12/25/2004
80,Subhajit,Mitra,7/10/1987,25519.34,
